date,PHR,GVR,TRC,VNIndex
06/04/2021,51939,29122,34745.19921875,1374.050048828125
06/03/2021,50251,27758,36153.80078125,1364.280029296875
06/02/2021,49501,27125,36153.80078125,1340.780029296875
06/01/2021,50345,27612,33993.8984375,1337.780029296875
05/31/2021,51001,27856,35214.69921875,1328.050048828125
05/28/2021,50345,28002,36153.80078125,1320.4599609375
05/27/2021,49688,27125,36153.80078125,1303.569946289063
05/26/2021,50251,26735,36153.80078125,1316.699951171875
05/25/2021,51189,26297,35965.8984375,1308.579956054688
05/24/2021,51189,26395,35684.19921875,1297.97998046875
05/21/2021,48282,24690,36576.30078125,1283.930053710938
05/20/2021,47251,24057,36153.80078125,1278.219970703125
05/19/2021,47813,24690,36247.69921875,1262.489990234375
05/18/2021,47813,24154,36247.69921875,1252.680053710938
05/17/2021,47438,24690,36294.6015625,1258.699951171875
05/14/2021,49126,25615,37562.30078125,1266.359985351563
05/13/2021,50626,25810,38031.8984375,1261.989990234375
05/12/2021,51282,26297,38219.69921875,1269.089965820313
05/11/2021,48938,24593,38970.8984375,1256.0400390625
05/10/2021,48563,24008,38501.3984375,1259.579956054688
05/07/2021,46876,24154,38970.8984375,1241.81005859375
05/06/2021,48001,24641,38970.8984375,1250.569946289063
05/05/2021,48657,24593,37609.30078125,1256.430053710938
05/04/2021,47813,24593,37562.30078125,1242.199951171875
04/29/2021,49970,25080,37562.30078125,1239.390014648438
04/28/2021,48657,24349,37562.30078125,1229.550048828125
04/27/2021,46876,22791,37562.30078125,1219.75
04/26/2021,48657,23083,37092.80078125,1215.77001953125
04/23/2021,49220,23619,37092.80078125,1248.530029296875
04/22/2021,48470,22840,37562.30078125,1227.819946289063
04/20/2021,50814,24544,37092.80078125,1268.280029296875
04/19/2021,51470,25323,37562.30078125,1260.579956054688
04/16/2021,50438,24836,37562.30078125,1238.7099609375
04/15/2021,52314,25956,37515.3984375,1247.25
04/14/2021,53720,26638,37515.3984375,1255.869995117188
04/13/2021,54470,26833,37468.3984375,1248.329956054688
04/12/2021,55782,27661,37092.80078125,1252.449951171875
04/09/2021,55970,27758,36153.80078125,1231.660034179688
04/08/2021,55970,27661,36153.80078125,1234.890014648438
04/07/2021,56720,27271,34745.19921875,1242.380004882813
04/06/2021,55407,27174,33806.1015625,1239.9599609375
04/05/2021,55876,27563,32867.1015625,1236.050048828125
04/02/2021,56064,27563,34745.19921875,1224.449951171875
04/01/2021,55689,27709,35214.69921875,1216.099975585938
03/31/2021,54751,27076,34745.19921875,1191.43994140625
03/30/2021,55314,27466,33806.1015625,1186.359985351563
03/29/2021,55220,27125,33054.8984375,1175.680053710938
03/26/2021,54282,26589,34651.30078125,1162.2099609375
