date,PHR,VNIndex
10/27/2021,57189,1423.02001953125
10/26/2021,55220,1391.630004882813
10/25/2021,54845,1385.400024414063
10/22/2021,54564,1389.239990234375
10/21/2021,54845,1384.77001953125
10/20/2021,52689,1393.800048828125
10/19/2021,50720,1395.329956054688
10/18/2021,51470,1395.530029296875
10/15/2021,51564,1392.699951171875
10/14/2021,50907,1391.849975585938
10/13/2021,49407,1391.910034179688
10/12/2021,50063,1394.800048828125
10/11/2021,50438,1394.089965820313
10/08/2021,50157,1372.72998046875
10/07/2021,50532,1365.989990234375
10/06/2021,50063,1362.819946289063
10/05/2021,49407,1354.630004882813
10/04/2021,48751,1339.5400390625
10/01/2021,48376,1334.890014648438
09/30/2021,49220,1342.06005859375
09/29/2021,49126,1339.2099609375
09/28/2021,47907,1339.31005859375
09/27/2021,47813,1324.989990234375
09/24/2021,48563,1351.170043945313
09/23/2021,49313,1352.760009765625
09/22/2021,49313,1350.680053710938
09/21/2021,48376,1339.839965820313
09/20/2021,49313,1350.47998046875
09/17/2021,50438,1352.640014648438
09/16/2021,50438,1345.869995117188
09/15/2021,50532,1345.829956054688
09/14/2021,51095,1339.699951171875
09/13/2021,51657,1341.430053710938
09/10/2021,52782,1345.31005859375
09/09/2021,51376,1343.97998046875
09/08/2021,50814,1333.609985351563
09/07/2021,51282,1341.900024414063
09/06/2021,51939,1346.390014648438
09/01/2021,49595,1334.650024414063
08/31/2021,49688,1331.469970703125
08/30/2021,48751,1328.140014648438
08/27/2021,46970,1313.199951171875
08/26/2021,46876,1301.119995117188
08/25/2021,47157,1309.550048828125
08/24/2021,47345,1298.739990234375
08/23/2021,46876,1298.859985351563
08/20/2021,48095,1329.430053710938
08/19/2021,49970,1374.849975585938
08/18/2021,49782,1360.93994140625
08/17/2021,50251,1363.089965820313
08/16/2021,51001,1370.9599609375
08/13/2021,50251,1357.050048828125
08/12/2021,50345,1353.050048828125
08/11/2021,49688,1357.7900390625
08/10/2021,49876,1362.430053710938
08/09/2021,49876,1359.859985351563
08/06/2021,47438,1341.449951171875
08/05/2021,47063,1345.550048828125
08/04/2021,47720,1334.739990234375
08/03/2021,47626,1332.43994140625
08/02/2021,47813,1314.219970703125
07/30/2021,46688,1310.050048828125
07/29/2021,45657,1293.599975585938
07/28/2021,45657,1277.069946289063
07/27/2021,45751,1276.930053710938
07/26/2021,45751,1272.7099609375
07/23/2021,46126,1268.829956054688
07/22/2021,46642,1293.670043945313
07/21/2021,45938,1270.7900390625
07/20/2021,46126,1273.2900390625
07/19/2021,44485,1243.510009765625
07/16/2021,46407,1299.31005859375
07/15/2021,46126,1293.920043945313
07/14/2021,45001,1279.910034179688
07/13/2021,46032,1297.5400390625
07/12/2021,45095,1296.300048828125
07/09/2021,47626,1347.140014648438
07/08/2021,48563,1374.680053710938
07/07/2021,48845,1388.550048828125
07/06/2021,47438,1354.7900390625
07/05/2021,50438,1411.130004882813
07/02/2021,52595,1420.27001953125
07/01/2021,53157,1417.079956054688
06/30/2021,53064,1408.550048828125
06/29/2021,53626,1410.0400390625
06/28/2021,53814,1405.81005859375
06/25/2021,53439,1390.119995117188
06/24/2021,53907,1379.719970703125
06/23/2021,53157,1376.869995117188
06/22/2021,53814,1379.969970703125
06/21/2021,54564,1372.630004882813
06/18/2021,55314,1377.77001953125
06/17/2021,55782,1359.920043945313
06/16/2021,53157,1356.52001953125
06/15/2021,53064,1367.359985351563
06/14/2021,51282,1361.719970703125
06/11/2021,50814,1351.739990234375
06/10/2021,50532,1323.579956054688
06/09/2021,51564,1332.900024414063
06/08/2021,52032,1319.880004882813
06/07/2021,53345,1358.780029296875
06/04/2021,51939,1374.050048828125
06/03/2021,50251,1364.280029296875
06/02/2021,49501,1340.780029296875
06/01/2021,50345,1337.780029296875
05/31/2021,51001,1328.050048828125
05/28/2021,50345,1320.4599609375
05/27/2021,49688,1303.569946289063
05/26/2021,50251,1316.699951171875
05/25/2021,51189,1308.579956054688
05/24/2021,51189,1297.97998046875
05/21/2021,48282,1283.930053710938
05/20/2021,47251,1278.219970703125
05/19/2021,47813,1262.489990234375
05/18/2021,47813,1252.680053710938
05/17/2021,47438,1258.699951171875
05/14/2021,49126,1266.359985351563
05/13/2021,50626,1261.989990234375
05/12/2021,51282,1269.089965820313
05/11/2021,48938,1256.0400390625
05/10/2021,48563,1259.579956054688
05/07/2021,46876,1241.81005859375
05/06/2021,48001,1250.569946289063
05/05/2021,48657,1256.430053710938
05/04/2021,47813,1242.199951171875
04/29/2021,49970,1239.390014648438
04/28/2021,48657,1229.550048828125
04/27/2021,46876,1219.75
04/26/2021,48657,1215.77001953125
04/23/2021,49220,1248.530029296875
04/22/2021,48470,1227.819946289063
04/20/2021,50814,1268.280029296875
04/19/2021,51470,1260.579956054688
04/16/2021,50438,1238.7099609375
04/15/2021,52314,1247.25
04/14/2021,53720,1255.869995117188
04/13/2021,54470,1248.329956054688
04/12/2021,55782,1252.449951171875
04/09/2021,55970,1231.660034179688
04/08/2021,55970,1234.890014648438
04/07/2021,56720,1242.380004882813
04/06/2021,55407,1239.9599609375
04/05/2021,55876,1236.050048828125
04/02/2021,56064,1224.449951171875
04/01/2021,55689,1216.099975585938
03/31/2021,54751,1191.43994140625
03/30/2021,55314,1186.359985351563
03/29/2021,55220,1175.680053710938
03/26/2021,54282,1162.2099609375
03/25/2021,54845,1163.099975585938
03/24/2021,55314,1161.81005859375
03/23/2021,57657,1183.449951171875
03/22/2021,58314,1194.430053710938
03/19/2021,58876,1194.050048828125
03/18/2021,57751,1200.93994140625
03/17/2021,57657,1186.089965820313
03/16/2021,57564,1179.900024414063
03/15/2021,57845,1184.56005859375
03/12/2021,58126,1181.56005859375
